Time,Sensors,Requests,ErrorRate,AvgLatency
16:26:01,10,94,0.00,489.76
16:26:11,10,74,0.00,414.37
16:26:21,10,52,0.00,473.68
16:26:31,10,71,0.00,458.31
16:26:41,10,72,0.00,409.83
16:26:51,50,73,0.00,394.46
16:27:01,50,77,0.00,1667.61
16:27:11,50,273,0.05,1785.74
16:27:21,50,297,0.00,770.67
16:27:31,50,275,0.00,932.65
16:27:41,50,261,0.00,486.02
16:27:51,80,160,0.00,2258.55
16:28:01,80,292,0.00,1375.74
16:28:11,80,312,0.00,1353.95
16:28:21,80,319,0.00,791.91
16:28:31,80,251,0.00,969.53
16:28:41,80,125,0.00,2505.25
16:28:51,20,179,0.00,2039.20
16:29:01,20,87,0.00,1064.71
16:29:11,20,90,0.00,406.81
16:29:21,20,74,0.00,419.04
16:29:31,20,86,0.00,420.12
16:29:41,20,89,0.00,486.63
16:29:51,60,58,0.00,670.74
16:30:01,60,139,0.00,1245.87
16:30:11,60,107,0.00,881.32
16:30:21,60,131,0.00,828.34
16:30:31,60,144,0.00,604.70
16:30:41,60,116,0.00,821.38
16:30:51,90,114,0.00,726.07
16:31:01,90,356,0.01,618.50
16:31:11,90,369,0.00,662.14
16:31:21,90,344,0.00,623.91
16:31:31,90,348,0.00,544.44
16:31:41,90,284,0.00,698.01
16:31:51,100,268,0.00,732.49
16:32:01,100,391,0.00,577.37
16:32:11,100,364,0.01,520.13
16:32:21,100,329,0.00,504.16
16:32:31,100,344,0.01,500.15
16:32:41,100,295,0.01,473.88
16:32:51,70,311,0.00,483.13
16:33:01,70,249,0.01,420.59
16:33:11,70,244,0.00,473.81
16:33:21,70,293,0.02,570.13
16:33:31,70,253,0.03,955.13
16:33:41,70,253,0.01,1132.84
16:33:51,50,203,0.00,1520.77
16:34:01,50,170,0.00,1422.44
16:34:11,50,232,0.00,643.83
16:34:21,50,200,0.00,675.75
16:34:31,50,215,0.00,544.78
16:34:41,50,175,0.00,508.02
16:34:51,80,201,0.00,442.46
16:35:01,80,584,0.04,508.71
16:35:11,80,566,0.00,500.03
16:35:21,80,375,0.00,929.66
16:35:31,80,329,0.00,844.57
16:35:41,80,395,0.00,533.47
16:35:51,100,360,0.01,641.35
16:36:01,100,432,0.00,837.14
16:36:11,100,452,0.01,1035.56
16:36:21,100,541,0.00,656.41
16:36:31,100,456,0.00,764.57
16:36:41,100,387,0.00,934.10
16:36:51,10,302,0.00,1108.38
16:37:01,10,49,0.04,2013.41
16:37:11,10,56,0.14,479.08
16:37:21,10,35,0.00,734.23
16:37:31,10,37,0.08,598.98
16:37:41,10,37,0.11,495.30
16:37:51,30,34,0.03,464.02
16:38:01,30,197,0.00,511.92
16:38:11,30,240,0.00,450.04
16:38:21,30,215,0.00,429.86
16:38:31,30,239,0.00,414.75
16:38:40,30,224,0.00,415.82
16:38:50,60,188,0.01,438.28
16:39:00,60,394,0.00,608.96
16:39:10,60,392,0.00,523.62
16:39:20,60,343,0.00,613.10
16:39:30,60,368,0.01,534.44
16:39:40,60,353,0.01,458.71
16:39:50,90,373,0.00,430.94
16:40:00,90,599,0.02,499.20
16:40:10,90,545,0.01,640.46
16:40:20,90,578,0.00,587.05
16:40:30,90,469,0.02,712.39
16:40:40,90,574,0.00,539.25
16:40:50,70,581,0.00,440.98
16:41:00,70,286,0.02,720.54
16:41:10,70,369,0.01,491.87
16:41:20,70,367,0.01,479.62
16:41:30,70,400,0.02,460.35
16:41:40,70,424,0.01,462.98
16:41:50,100,417,0.00,428.06
16:42:00,100,554,0.00,597.30
16:42:10,100,578,0.00,579.69
16:42:20,100,499,0.00,590.79
16:42:30,100,505,0.00,610.44
16:42:40,100,477,0.00,548.43
16:42:50,80,421,0.00,482.68
16:43:00,80,311,0.00,439.44
16:43:10,80,282,0.00,439.87
16:43:20,80,282,0.00,421.83
16:43:30,80,286,0.00,414.51
16:43:40,80,278,0.01,402.47
16:43:50,50,299,0.01,417.80
16:44:00,50,212,0.02,456.07
16:44:10,50,210,0.01,417.16
16:44:20,50,204,0.00,402.21
16:44:30,50,221,0.02,400.83
16:44:40,50,240,0.01,411.33
16:44:50,15,258,0.00,408.56
16:45:00,15,57,0.19,429.20
16:45:10,15,69,0.07,461.80
16:45:20,15,68,0.06,499.54
16:45:30,15,71,0.10,445.96
16:45:40,15,53,0.06,450.30
16:45:50,0,43,0.12,470.79
